,components,components_indexed,components_significant,mean_correlation,std_correlation,fraction_significant
2166559006_____FI_contig00033,19.0,15.0,11.0,0.11124704557920535,0.13644076294508448,0.5789473684210527
3300005293_____Ga0065715_10088912,11.0,9.0,6.0,0.10127705649335135,0.05264068861155481,0.5454545454545454
3300005434_____Ga0070709_10000099,11.0,9.0,7.0,0.10137958040800728,0.20442610211912327,0.6363636363636364
3300005518_____Ga0070699_100000469,11.0,7.0,6.0,0.14889434772388646,0.12949375406392344,0.5454545454545454
3300005536_____Ga0070697_100001112,11.0,10.0,7.0,0.20398020028748234,0.17068860220641782,0.6363636363636364
3300005548_____Ga0070665_100002338,12.0,9.0,7.0,0.17882810571243363,0.26256850622170386,0.5833333333333334
3300005563_____Ga0068855_100001665,11.0,8.0,6.0,0.10543017101388137,0.11237295395148604,0.5454545454545454
3300005614_____Ga0068856_100001131,11.0,11.0,7.0,0.11210412043899054,0.10924508490759112,0.6363636363636364
3300006914_____Ga0075436_100001030,15.0,9.0,8.0,0.12593206321736922,0.1597980073345289,0.5333333333333333
3300009036_____Ga0105244_10002196,11.0,11.0,8.0,0.12870383028024568,0.07206704593102967,0.7272727272727273
3300009092_____Ga0105250_10001002,11.0,10.0,6.0,0.12159795881075507,0.13148287673665934,0.5454545454545454
3300009148_____Ga0105243_10001094,15.0,14.0,9.0,0.12147415768624586,0.10265230552752226,0.6
3300010358_____Ga0126370_10000155,13.0,12.0,8.0,0.25444851521087364,0.3154137436194652,0.6153846153846154
3300012008_____Ga0120174_1001042,14.0,14.0,8.0,0.26227644838466485,0.17755775593598622,0.5714285714285714
3300012200_____Ga0137382_10000394,11.0,8.0,6.0,0.2642392641323345,0.28465799003234876,0.5454545454545454
3300012207_____Ga0137381_10000164,21.0,15.0,11.0,0.15397938447258042,0.20252416708056398,0.5238095238095238
3300012930_____Ga0137407_10000194,16.0,13.0,9.0,0.18093565669359524,0.22406543153180927,0.5625
3300013104_____Ga0157370_10002666,17.0,15.0,9.0,0.14025404166508493,0.10498284184347684,0.5294117647058824
3300013308_____Ga0157375_10000353,11.0,8.0,6.0,0.11612715462309271,0.21229476936178227,0.5454545454545454
3300013772_____Ga0120158_10000243,15.0,14.0,9.0,0.1968777839799604,0.3016403953588041,0.6
3300014820_____Ga0120160_1002869,11.0,11.0,6.0,0.2718923722350452,0.17653636337300077,0.5454545454545454
3300015261_____Ga0182006_1001761,11.0,10.0,7.0,0.23751533027548535,0.3074030804076484,0.6363636363636364
3300015262_____Ga0182007_10000446,19.0,17.0,10.0,0.1335879699610719,0.08389795843014497,0.5263157894736842
3300015264_____Ga0137403_10001153,19.0,15.0,12.0,0.251047424200759,0.31385998532655823,0.631578947368421
